blockGroup,totalPopulation_MOE,femaleUnder5_MOE,female5to9_MOE,maleUnder5_MOE,male5to9_MOE,totalUnder5_MOE,totalUnder10_MOE,totalPopulationBG,pAllChildrenUnder5BG,pAllChildrenUnder10BG,totalChildrenUnder5BG,totalChildrenUnder10BG,pAllChildrenUnder5BG_MOE,pAllChildrenUnder5BG_MOE2,pAllChildrenUnder10BG_MOE,pAllChildrenUnder10BG_MOE2
171118705012,487,23,42,41,78,47.01063709417264,100.28958071504736,1984,0.031754032258064516,0.09778225806451613,63,194,0.02237618324065059,0.02494395456760067,0.04448734857306633,0.05595816105200802
171118705021,344,12,17,22,12,25.059928172283335,32.57299494980466,1216,0.009868421052631578,0.018092105263157895,12,22,0.020418527907995032,0.020796724067045837,0.026293495836070234,0.027271579980650083
171118705022,510,12,21,12,29,16.97056274847714,39.6232255123179,1401,0,0.02212705210563883,0,31,0.012113178264437644,0.012113178264437644,0.027110832978150916,0.029406757243697637
171118705023,280,12,51,60,34,61.18823416311342,86.6083136886985,858,0.045454545454545456,0.11305361305361306,39,97,0.06975518661575394,0.07284133768324302,0.09395819217885093,0.10747311017265813
171118705024,203,12,37,12,11,16.97056274847714,42.16633728461603,431,0,0.08584686774941995,0,37,0.03937485556491215,0.03937485556491215,0.08908735293016828,0.10585991066368454
171118705025,164,23,12,12,12,25.942243542145693,31,534,0.03745318352059925,0.03745318352059925,20,20,0.04719962614026947,0.04992412852097629,0.05690147797708899,0.0591810112855035
171118706031,394,123,34,53,94,133.9328189802634,167.1227094083865,2726,0.0946441672780631,0.15443873807776962,258,421,0.04718891137975426,0.051000396650572,0.05709889396337053,0.06524413598181557
171118706032,480,20,47,66,36,68.963758598266665,90.89004345911603,2162,0.031914893617021274,0.08371877890841813,69,181,0.03110119740095009,0.032675633215030905,0.03770768398713077,0.045965419766721985
171118706041,465,67,54,35,35,75.59100475585703,99.27235264664579,1941,0.05151983513652756,0.11282843894899536,100,219,0.03693679505888096,0.04085339254673338,0.04341872202200478,0.05784830934438346
171118706042,468,124,70,54,74,135.2479205015737,169.31627210637492,2457,0.07977207977207977,0.14204314204314206,196,349.00000000000006,0.05290726992809695,0.05710460511184452,0.06337836173837877,0.07403278545813216
171118706043,382,71,60,12,12,72.00694410957877,94.49338601193207,1157,0.08383751080380294,0.11581676750216076,97.00000000000001,134,0.05574152488570408,0.06811386482478425,0.07216627228177087,0.09017951342818879
171118706051,484,39,45,81,82,89.89994438263018,129.7343439494724,1888,0.06620762711864407,0.12764830508474576,125.00000000000001,241,0.04448884728520549,0.05055100239634257,0.06042318397228355,0.07610915193608701
171118706052,496,136,185,32,24,139.71399357258383,233.06865941177077,1952,0.08299180327868852,0.18596311475409835,162,363,0.06839768748006124,0.07461674066001633,0.10965174009843902,0.12841020790954705
171118706053,406,12,59,12,36,16.97056274847714,71.16881339463234,1248,0,0.05608974358974359,0,70,0.013598207330510528,0.013598207330510528,0.05402813895670946,0.05987450491055514
171118706054,557,12,12,12,77,16.97056274847714,79.75587752636166,1474,0,0.03459972862957938,0,51,0.011513271878207013,0.011513271878207013,0.052505040319622075,0.05566572309270041
