blockNum,medianAge,meanAge,nBlocks,minAge,maxAge,pOld
170311005004043,76,75.5,8,70,77,1
170311005004044,72,73.78571428571429,14,52,96,1
170311005004045,72,70.6875,16,53,92,1
170311005004046,76,75.83333333333333,12,66,94,1
170311005004047,76,74.5,6,70,76,1
170311005005000,79,76,6,70,79,1
170311005005001,76,75.45454545454545,11,43,96,1
170311005005002,75,74.8,15,66,94,1
170311005005003,76,74.75,12,67,76,1
170311005005004,76,70.5,6,43,76,1
170311005005005,67,66.875,8,66,67,1
170311005005006,66,63.45,20,15,66,0.95
170311005005007,57.5,59.583333333333336,24,55,66,1
170311005005008,56,56.25,28,55,58,1
170311005005009,56,54.8974358974359,39,49,58,1
170311005005010,54.5,54.46666666666667,60,43,60,1
170311005005011,53,52.76923076923077,13,43,60,1
170311005005012,51.5,52.0625,16,51,54,1
170311005005013,54,54.38461538461539,13,53,60,1
170311005005014,56,56,1,56,56,1
170311005005015,57,57.285714285714285,7,55,61,1
170311005005016,56,56,1,56,56,1
170311005005017,66,65.875,40,64,67,1
170311005005018,66,65.83333333333333,12,65,66,1
170311005005019,66,65.83333333333333,6,65,66,1
170311005005020,76,73.3076923076923,13,68,76,1
170311005005021,76,75.21428571428571,14,57,95,1
170311005005022,76,70,12,16,96,0.9166666666666666
170311005005023,76,80.06666666666666,15,67,97,1
170311005005024,50,47.38461538461539,26,37,56,1
170311005005025,54,53.17142857142857,35,48,58,1
170311005005026,76,70.46153846153847,13,16,96,0.9230769230769231
170311005005027,77,73.93333333333334,15,43,97,1
170311005005028,67,69,15,63,95,1
170311005005029,75,76,11,50,98,1
170311005005030,68,73,8,65,112,1
170311005005031,58,58.166666666666664,6,55,60,1
170311005005032,66,64.95,20,59,66,1
170311005005033,66,64.33333333333333,24,56,67,1
170311005005034,63,63,12,61,66,1
170311005005035,76,76,6,76,76,1
170311005005036,75,73.46153846153847,13,67,75,1
170311005005037,65,64.825,40,64,65,1
170311006001003,94.5,82.7,10,52,96,1
170311006001004,68,67.22222222222223,9,59,72,1
170311006001006,71,71,8,71,71,1
170311006001007,71,71.8125,16,64,97,1
170311006001008,69,66.44444444444444,18,28,97,0.8333333333333334
170311006001009,69,70.55555555555556,18,16,98,0.9444444444444444
170311006001010,68,73.38888888888889,18,43,99,1
170311006001011,95,84.5,10,53,96,1
170311006001012,98,86.6,10,60,99,1
170311006001013,83.5,82.2,10,60,100,1
170311006001014,72,77.11111111111111,9,61,97,1
170311006001015,68,69.7,10,54,88,1
170311006001016,69,64.5,18,43,94,1
170311006001017,69,77.4375,16,68,102,1
170311006001018,69,70.11111111111111,18,56,102,1
170311006001019,69,72.11764705882354,17,54,98,1
170311006001020,69,72.47368421052632,19,26,97,0.9473684210526315
170311006001021,67,68.22222222222223,18,62,72,1
170311006001022,93,86.64285714285714,14,72,109,1
170311006001023,72,74.6923076923077,13,58,104,1
170311006001024,68,76,9,65,112,1
170311006001025,64.5,62.5,8,49,70,1
170311006001026,64,63.333333333333336,6,60,65,1
170311006001027,53,56.333333333333336,3,52,64,1
170311006001028,70,68.04545454545455,22,16,102,0.9545454545454546
170311006001029,66,65.92,25,16,82,0.96
170311006001030,66.5,68.16666666666667,24,48,98,1
170311006002000,74,72.66666666666667,3,70,74,1
170311006002001,65,54.285714285714285,7,16,66,0.8571428571428571
170311006002002,61,65.16666666666667,6,52,102,1
170311006002003,61,61.42857142857143,7,61,63,1
170311006002004,65,67.63636363636364,11,56,93,1
170311006002005,67.5,70.9,10,63,96,1
170311006002006,65,64.14285714285714,7,63,65,1
170311006002007,64,63.857142857142854,7,63,64,1
170311006002008,64,65.42857142857143,7,50,82,1
