Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
3630 N LAKE SHORE DR,Chicago,IL,,2019-04-22T00:00:00Z,< 1,< 1,< 1,FALSE,3649 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2019-08-11T00:00:00Z,< 1,< 1,< 1,FALSE,3649 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2020-02-22T00:00:00Z,< 1,< 1,< 1,FALSE,3649 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3630 N RAVENSWOOD AVE,Chicago,IL,,2019-08-24T00:00:00Z,1.7,3.7,1.8,FALSE,3649 N RAVENSWOOD AVE,-87.67356552299998,41.94795817800008,17,31,60300,2007
3630 W 116TH PL,Chicago,IL,,2019-02-07T00:00:00Z,2.4,2.5,< 1,FALSE,3649 W 116TH PL,-87.71183244099996,41.68130663800008,17,31,823304,4011
3630 W 116TH PL,Chicago,IL,,2021-08-08T14:16:00Z,3.2,3,<1.0,FALSE,3649 W 116TH PL,-87.71183244099996,41.68130663800008,17,31,823304,4011
3630 W 116TH ST,Chicago,IL,,2019-08-19T00:00:00Z,1.2,3.2,1.4,FALSE,3649 W 116TH ST,NA,NA,NA,NA,NA,NA
3630 W LE MOYNE ST,Chicago,IL,,2018-11-24T00:00:00Z,< 1,< 1,< 1,FALSE,3649 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3630 W MCLEAN AVE,Chicago,IL,,2017-01-26T00:00:00Z,1.3,1.6,1.6,FALSE,3649 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
3630 W MCLEAN AVE,Chicago,IL,,2019-05-05T00:00:00Z,5.9,1.8,1.3,FALSE,3649 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
3730 W DEVON AVE,Chicago,IL,,2019-09-25T00:00:00Z,1,1.1000000000000001,1.1000000000000001,FALSE,3749 W DEVON AVE,-87.72312568099994,41.99720972500006,17,31,130100,1002
3730 W MCLEAN AVE,Chicago,IL,,2019-10-13T00:00:00Z,2.9,1.1000000000000001,< 1,FALSE,3749 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
3930 N LAKE SHORE DR,Chicago,IL,,2016-08-18T00:00:00Z,< 1,< 1,< 1,FALSE,3949 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3930 N LAKE SHORE DR,Chicago,IL,,2016-12-02T00:00:00Z,< 1,< 1,< 1,FALSE,3949 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3930 N LAKE SHORE DR,Chicago,IL,,2018-10-26T00:00:00Z,< 1,< 1,< 1,FALSE,3949 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3930 N LAKE SHORE DR,Chicago,IL,,2020-11-03T00:00:00Z,< 1,< 1,< 1,FALSE,3949 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3930 N WASHTENAW AVE,Chicago,IL,,2018-08-12T00:00:00Z,< 1,< 1,< 1,FALSE,3949 N WASHTENAW AVE,-87.69552040999997,41.95358626600006,17,31,160700,1001
3930 N WASHTENAW AVE,Chicago,IL,,2020-03-03T00:00:00Z,< 1,< 1,< 1,FALSE,3949 N WASHTENAW AVE,-87.69552040999997,41.95358626600006,17,31,160700,1001
3930 W 108TH PL,Chicago,IL,,2019-09-26T00:00:00Z,1.2,4,1.3,FALSE,3949 W 108TH PL,-87.71826614199995,41.695829899000046,17,31,740300,5006
3930 W ROSEMONT AVE,Chicago,IL,,2019-08-23T00:00:00Z,2.2000000000000002,7.1,1.2,FALSE,3949 W ROSEMONT AVE,NA,NA,NA,NA,NA,NA
330 E WACKER DR,Chicago,IL,,2021-06-15T00:00:00Z,< 1,< 1,< 1,FALSE,349 E WACKER DR,-87.61920921599994,41.887597303000064,17,31,320101,1003
4030 N MCVICKER AVE,Chicago,IL,,2019-08-28T00:00:00Z,3.7,6.9,4.8,FALSE,4049 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4030 W HARRISON ST,Chicago,IL,,2019-04-12T00:00:00Z,1,< 1,< 1,FALSE,4049 W HARRISON ST,-87.72683502399997,41.87337420600005,17,31,261000,2000
