blockGroup,totalPopulation_MOE,femaleUnder5_MOE,female5to9_MOE,maleUnder5_MOE,male5to9_MOE,totalUnder5_MOE,totalUnder10_MOE
171219524003,288,27,23,12,55,29.546573405388315,66.53570470055908
171219525001,279,103,37,90,16,136.7808466123821,142.59733517846678
171219525002,200,19,12,44,21,47.92702786528704,53.68426212587819
171219525003,229,12,53,12,12,16.97056274847714,56.929781309961136
171219525004,203,32,32,25,88,40.607881008493905,102.06370559606387
171219526001,146,14,20,9,24,16.64331697709324,35.397740040855716
171219526002,277,10,22,14,11,17.204650534085253,30.01666203960727
171219526003,230,44,28,20,47,48.33218389437829,73
171219527001,272,21,11,34,62,39.96248240537617,74.57881736793632
171219527002,167,8,14,16,34,17.88854381999832,40.890096600521744
171219527003,248,12,12,86,12,86.83317338436964,88.47598544237866
171219527004,160,12,22,26,24,28.635642126552707,43.3589667773576
171219527005,222,52,29,34,12,62.12889826803627,69.60603422117941
171239611001,156,39,40,30,27,49.20365840057018,68.92024376045111
171239611002,217,9,11,18,26,20.12461179749811,34.66987164671943
171239611003,250,12,17,12,21,16.97056274847714,31.906112267087632
171239612001,157,20,13,15,18,25,33.436506994600975
171239612002,193,15,23,34,10,37.16180835212409,44.83302354291979
171239612003,139,25,8,10,36,26.92582403567252,45.661800227323496
171239613001,129,9,15,11,19,14.212670403551895,28.071337695236398
171239613002,138,20,21,17,24,26.248809496813376,41.30375285612676
171239614001,153,5,12,16,11,16.76305461424021,23.366642891095847
171239614002,218,56,36,29,15,63.06346010171025,74.14849964766651
171239615001,141,12,2,23,19,25.942243542145693,32.218007387174026
171239615002,175,22,23,19,6,29.068883707497267,37.54996671103717
171259563001,169,36,24,23,24,42.720018726587654,54.56189146281496
171259563002,157,34,8,26,13,42.80186911806539,45.44227107000705
171259563003,150,17,16,19,30,25.495097567963924,42.49705872175156
171259564001,170,14,12,9,12,16.64331697709324,23.769728648009426
171259564002,120,26,32,12,12,28.635642126552707,44.58699361921591
171259564003,159,29,36,22,12,36.40054944640259,52.583267300539625
171259565001,216,28,12,31,25,41.773197148410844,50.1398045468867
171259565002,285,12,12,12,29,16.97056274847714,35.679125549822544
171259565003,164,12,23,35,12,37,45.18849411078001
171259565004,137,12,12,31,16,33.24154027718932,38.79432948254165
171259565005,187,12,22,12,14,16.97056274847714,31.11269837220809
171259566001,80,12,12,12,16,16.97056274847714,26.229754097208
171259566002,119,4,20,21,12,21.37755832643195,31.63858403911275
171259566003,206,5,34,14,20,14.866068747318506,42.15447781671598
171259567001,96,16,16,6,9,17.08800749063506,25.079872407968907
171259567002,162,11,26,23,42,25.495097567963924,55.58776843874919
171259567003,191,15,13,7,7,16.55294535724685,22.181073012818835
171259568001,162,26,12,12,33,28.635642126552707,45.31004303683677
171259568002,154,19,30,18,15,26.1725046566048,42.5440947723653
171259568003,177,16,12,27,16,31.38470965295043,37.21558813185679
171279701001,228,20,23,24,94,31.240998703626616,101.69070754006975
171279701002,279,22,47,61,32,64.8459713474939,86.24384035976135
171279701003,237,36,28,28,16,45.60701700396552,55.85696017507576
171279701004,332,34,77,67,58,75.13321502504735,122.22111110606056
171279702001,334,62,97,46,26,77.20103626247513,126.66885963013956
171279702002,313,14,83,12,23,18.439088914585774,88.07950953541919
171279702003,343,31,87,41,33,51.40038910358559,106.30145812734649
171279702004,199,12,72,12,21,16.97056274847714,76.89603370785778
171279703001,233,12,41,29,36,31.38470965295043,62.94441992742486
171279703002,329,40,39,31,30,50.60632371551998,70.58328414008518
171279703003,216,35,18,7,17,35.6931365951495,43.439613257946945
171279704001,180,43,35,31,10,53.009433122794285,64.3039656630911
171279704002,289,32,28,31,33,44.553338819890925,62.112800613078136
171290101001,141,17,9,13,9,21.400934559032695,24.899799195977465
171290101002,186,16,22,14,22,21.2602916254693,37.68288736283355
171290101003,330,39,84,31,69,49.8196748283246,119.57842614786331
171290101004,382,47,73,56,39,73.10950690573696,110.43097391583576
171290101005,256,42,44,39,32,57.3149195236284,79.02531240052139
171290102001,281,35,37,53,39,63.51377803280167,83.21057625085888
171290102002,292,24,22,37,25,44.10215414239989,55.263007518592396
171290103001,104,6,3,5,2,7.810249675906654,8.602325267042627
171290103002,157,11,19,8,26,13.601470508735444,34.95711658589707
171290103003,141,10,68,22,24,24.166091947189145,76.05261336732617
171310401001,191,12,12,24,9,26.832815729997478,30.740852297878796
171310401002,139,8,8,9,9,12.041594578792296,17.029386365926403
171310401003,267,12,12,25,25,27.730849247724095,39.21734310225516
171310401004,194,26,17,20,24,32.802438933713454,44.05678154382138
171310401005,214,44,27,30,27,53.25410782277739,65.5286197016235
171310402001,127,22,18,11,8,24.596747752497688,31.51190251317746
171310402002,265,26,44,12,22,28.635642126552707,56.92099788303083
171310402003,137,18,18,17,21,24.758836806279895,37.12142238654117
171310402004,90,25,19,15,4,29.154759474226502,35.02855977627399
171310402005,186,17,12,16,10,23.345235059857504,28.089143810376278
171310403001,237,10,35,9,12,13.45362404707371,39.370039370059054
171310403002,262,50,44,46,73,67.94115100585212,109
171310403003,197,12,29,34,30,36.05551275463989,55.14526271584895
171310403004,231,7,16,22,12,23.08679276123039,30.54504869860253
171310404001,158,27,12,23,28,35.4682957019364,46.75467891024384
171310404002,187,24,41,20,36,31.240998703626616,62.8728876384726
171310404003,175,10,20,19,3,21.470910553583888,29.49576240750525
171310404004,174,22,5,28,10,35.608987629529715,37.322915213043046
171310404005,169,12,30,29,47,31.38470965295043,63.984373092185564
171336001021,239,39,41,37,41,53.75872022286245,79.06958960308319
171336001022,304,37,23,57,26,67.95586803212802,76.30858405186143
171336001031,380,83,64,29,116,87.92041856133307,159.00314462299164
171336001032,374,25,62,33,12,41.400483088968905,75.51158851461145
171336001041,711,115,45,125,96,169.85287751463028,200.22737075634788
171336001042,388,12,43,95,80,95.75489543621255,131.9772707703868
171336004011,382,59,64,67,48,89.27485648266257,119.87493482792806
171336004012,218,30,23,27,12,40.36087214122113,47.97916214358062
171336004013,303,39,36,75,50,84.53401682163222,104.60401521930217
171336004014,440,35,71,28,62,44.82186966202994,104.37432634513145
171336004021,225,20,22,12,19,23.323807579381203,37.26929030716845
171336004022,369,50,31,32,33,59.36328831862332,74.65922581972036
171336004023,264,25,52,31,14,39.824615503479755,66.9776081985614
171336005011,360,9,6,9,4,12.727922061357855,14.628738838327793
171336005012,365,91,78,16,68,92.39588735436226,138.72634933566152
171336005013,296,26,44,12,64,28.635642126552707,82.7768083462995
171336005014,323,38,28,86,37,94.02127418834527,104.84750831564858
171336005021,218,56,22,15,24,57.97413216254298,66.49060083951716
171336005022,293,21,26,19,37,28.319604517012593,53.3572862878164
171359573001,191,11,5,28,27,30.083217912982647,40.7308237088326
171359573002,227,17,99,22,31,27.80287754891569,107.4011173126239
171359573003,207,29,33,12,15,31.38470965295043,47.94788837894741
171359574001,103,12,8,12,11,16.97056274847714,21.748563170931547
171359574002,185,19,18,4,18,19.4164878389476,32.01562118716424
171359574003,207,31,42,29,15,42.44997055358225,61.57109711544857
